,IFT,IFT_pred
1460,58.97,58.424744
1304,35.89,35.617435
687,33.8,33.60155
1540,64.0,64.90312
447,47.87,47.189472
1124,42.2,41.85129
390,28.32,28.764437
859,33.8,33.64687
1331,31.62,31.631392
196,48.8,47.312176
544,36.64,35.969414
1131,32.97,33.800255
834,50.7,50.222572
1602,36.0,35.927055
1208,38.4,35.96847
1523,58.13,57.249283
106,39.5,40.2663
75,30.8,30.448732
1358,42.75,42.494236
11,34.08,33.973057
952,34.5,34.364536
360,34.62,34.486824
468,37.67,38.14958
1701,38.02,37.940907
58,40.29,40.286144
581,29.1,29.032389
101,38.62,38.930157
376,27.53,27.458063
1472,65.78,65.077675
626,46.9,45.62479
358,41.2,41.200203
814,36.2,35.853786
772,41.5,41.158382
562,32.4,33.57139
1076,35.3,35.577152
254,45.2,45.093864
810,37.9,37.167217
165,51.32,53.209366
1644,35.9,35.568348
747,38.2,38.064823
437,29.96,29.72571
1581,35.6,35.256878
1167,27.25,27.029024
1745,39.13,38.94978
629,36.4,36.221905
1406,67.95,68.2268
1717,53.78,50.621456
1491,61.54,61.44888
220,49.5,49.08032
1713,36.89,37.42587
1353,51.47,50.933933
906,41.3,40.453033
85,30.41,30.645638
1228,64.04,63.903065
1352,52.02,52.981182
1107,31.0,31.119654
1405,69.33,70.12685
277,35.95,35.62924
1200,15.45,14.991717
228,28.8,29.058279
1485,65.91,65.32842
1590,33.61,31.100962
1634,35.84,35.685043
448,26.03,25.782335
80,45.59,45.179592
1039,39.4,39.382584
65,47.9,48.691166
861,33.2,33.15979
975,48.8,48.565453
303,36.84,36.69337
943,38.8,38.594227
1277,43.74,43.584904
567,39.7,39.071987
939,41.1,41.003212
1,34.96,35.20805
1059,50.6,50.20412
59,36.47,36.582973
668,34.5,34.04729
249,41.6,40.498936
1658,42.13,42.115833
121,38.0,39.882267
857,34.2,34.121376
213,28.5,29.410889
1270,52.29,51.713696
28,43.9,43.924793
554,25.27,25.434578
1247,48.04,47.77841
1345,65.85,67.320755
1123,36.2,36.36456
1292,53.4,53.28718
405,30.64,30.459885
1217,43.0,43.12804
1307,35.24,35.168034
1176,34.14,34.613766
1503,51.64,51.14484
1296,45.97,46.21289
153,29.7,29.556883
1627,47.16,47.91048
1310,35.24,35.410095
337,35.8,35.7571
423,40.96,41.175385
1415,53.44,53.531704
1547,56.2,55.957413
1191,18.83,18.514982
1064,43.9,43.840107
994,63.1,63.242493
469,42.0,41.662823
991,64.9,64.97884
1642,37.89,37.334217
1355,37.24,37.43919
93,34.72,34.500935
