,IFT,IFT ANN model
0,29.52,28.658577
1,33.5,33.838665
2,30.5,30.550503
3,25.0,27.056824
4,34.5,37.80806
5,27.2,28.394077
6,55.4,57.478893
7,30.3,30.252586
8,29.0,28.849941
9,37.36,38.818928
10,30.2,31.026714
11,34.8,34.323162
12,46.2,45.6779
13,58.22,55.42095
14,29.0,29.276634
15,27.0,27.374504
16,19.4,16.931381
17,34.6,35.054977
18,59.0,55.668083
19,39.75,40.112305
20,32.15,31.177391
21,51.7,50.855713
22,30.91,30.60799
23,29.15,29.639511
24,31.6,29.204365
25,60.89,59.05173
26,33.48,33.484013
27,45.5,47.79181
28,48.3,47.931473
29,35.1,35.791935
30,44.36,42.61476
31,38.5,38.88996
32,39.8,40.74566
33,22.4,18.854557
34,48.87,50.925323
35,36.42,36.88295
36,32.3,32.86938
37,57.46,55.33674
38,33.87,35.24861
39,45.0,46.37092
40,44.3,44.468666
41,22.97,24.71777
42,36.0,36.010345
43,27.74,29.43739
44,31.0,29.403141
45,49.78,50.67649
46,25.7,24.131752
47,55.6,57.713524
48,62.93,62.47412
49,40.7,40.92739
50,52.1,49.49906
51,33.0,31.392483
52,34.0,34.43291
53,33.15,33.68167
54,63.0,62.850945
55,44.15,45.916145
56,60.11,62.33291
57,28.28,29.843765
58,32.7,33.179173
59,60.29,58.16138
60,45.27,44.083942
61,35.83,37.75675
62,35.4,35.139557
63,34.85,36.437016
64,34.63,35.292553
65,47.5,48.28782
66,34.9,34.774826
67,46.53,45.948345
68,42.76,43.204174
69,41.1,41.60605
70,32.5,28.498138
71,41.77,41.79291
72,50.01,49.56483
73,22.8,21.848759
74,43.26,43.1873
75,44.63,45.448967
76,37.4,37.464584
77,36.77,36.68906
78,33.0,33.989155
79,58.6,59.287315
80,34.1,33.38492
81,42.19,43.149643
82,36.81,37.05466
83,12.65,13.554428
84,38.3,38.25035
85,32.91,33.087196
86,29.3,27.458492
87,52.78,53.212414
88,32.5,35.57257
89,39.25,39.610783
90,25.52,25.75148
91,35.8,35.24047
92,21.7,22.895145
93,27.0,23.235634
94,34.8,34.696003
95,31.19,32.2049
96,39.5,39.40417
97,31.0,29.89619
98,21.2,22.200703
99,34.8,34.918694
100,31.14,31.728836
101,50.25,52.914894
102,38.8,39.144356
103,52.7,52.704494
104,34.7,34.227016
105,28.1,27.78143
106,26.03,24.157394
107,40.7,39.860123
108,47.2,47.614388
109,44.04,41.35303
110,32.2,32.312485
111,40.83,41.247517
112,27.16,26.788078
113,25.55,23.67078
114,40.7,38.989822
115,33.69,32.01054
116,29.69,29.806503
117,28.0,28.46027
118,38.23,39.32715
119,38.59,39.614765
120,38.43,38.887314
121,41.8,41.336323
122,46.4,47.569096
123,40.6,39.71314
124,32.6,28.610481
125,41.47,42.391624
126,41.9,42.614994
127,36.39,39.38654
128,29.3,28.628704
129,32.3,33.484398
130,29.8,28.310886
131,73.6,74.76667
132,41.79,42.672928
133,26.91,26.80415
134,65.5,64.25177
135,52.5,52.04442
136,34.1,33.199142
137,28.12,30.793491
138,58.24,59.83084
139,27.51,28.669888
140,36.66,38.20395
141,28.44,27.416199
142,65.5,64.69714
143,34.09,34.677967
144,52.33,52.72088
145,35.43,35.98137
146,34.09,29.801605
147,29.41,29.185036
148,50.9,53.600075
149,54.83,55.55027
150,31.66,30.133923
151,28.7,28.49321
152,44.98,45.254036
153,50.49,51.678173
154,61.0,59.582817
155,36.7,37.06586
156,60.56,60.610382
157,46.96,45.34279
158,46.94,46.79364
159,18.9,19.044258
160,39.43,39.514675
161,46.36,46.084633
162,39.7,38.64953
163,46.77,47.158768
164,41.7,42.268547
165,52.92,54.279564
166,29.07,27.884884
167,54.65,56.597183
168,36.87,37.295456
169,40.8,40.836273
170,29.1,28.909595
171,57.15,56.890312
172,32.2,32.30921
173,42.73,41.798252
174,27.9,28.032188
175,37.49,38.661114
176,21.23,21.290924
177,29.0,28.59721
178,27.49,28.0163
179,31.6,30.781132
180,47.87,48.878456
181,36.16,37.41722
182,46.09,46.54931
183,43.64,43.849464
184,28.2,28.185349
185,32.72,31.422878
186,35.3,34.113197
187,12.73,13.643475
188,36.7,37.047302
189,45.3,45.880928
190,48.2,48.908848
191,28.23,29.70403
192,26.7,26.773815
193,38.52,38.932896
194,34.1,34.317127
195,40.91,41.121353
196,68.8,68.04877
197,35.07,34.424942
198,28.8,28.924568
199,48.9,49.9382
200,64.77,64.979675
201,33.81,33.110188
202,23.58,28.300121
203,38.4,38.150723
204,40.96,40.9014
205,46.94,47.75405
206,41.58,41.513542
207,35.4,35.69606
208,48.9,48.999527
209,32.5,36.565147
210,47.96,48.629906
211,43.15,43.570236
212,35.7,35.792908
213,40.54,42.416245
214,59.04,59.42702
215,30.31,28.459366
216,50.7,51.52562
217,34.0,34.476265
218,39.54,38.58514
219,47.68,48.419083
220,49.5,49.70884
221,51.15,50.767307
222,50.69,47.455093
223,38.56,37.50476
224,28.67,29.729664
225,37.76,35.712437
226,48.4,48.042557
227,45.8,46.961456
228,42.4,41.80626
229,25.4,25.641163
230,31.5,32.568855
231,34.1,32.927372
232,41.1,41.334694
233,48.5,47.96352
234,45.8,45.552223
235,27.46,27.01641
236,31.2,30.822315
237,33.92,37.00163
238,26.2,27.309242
239,52.42,49.5953
240,27.6,27.19873
241,40.8,41.43331
242,55.86,52.964546
243,51.68,53.40245
244,55.54,56.605515
245,45.43,46.082188
246,34.4,36.55207
247,40.1,40.003807
