,IFT,IFT ANN model
0,29.52,28.6204
1,33.5,33.26281
2,30.5,31.030317
3,25.0,26.715357
4,34.5,37.236515
5,27.2,28.291777
6,55.4,55.18775
7,30.3,30.051056
8,29.0,28.89543
9,37.36,38.577976
10,30.2,31.767899
11,34.8,33.83269
12,46.2,45.565083
13,58.22,56.233078
14,29.0,30.093113
15,27.0,27.535149
16,19.4,15.6361475
17,34.6,34.140133
18,59.0,56.95389
19,39.75,39.90465
20,32.15,30.673666
21,51.7,51.16603
22,30.91,31.475006
23,29.15,30.858206
24,31.6,29.371798
25,60.89,61.242287
26,33.48,34.086563
27,45.5,47.18991
28,48.3,49.019787
29,35.1,35.447964
30,44.36,43.627728
31,38.5,38.685436
32,39.8,40.047573
33,22.4,18.971529
34,48.87,51.306324
35,36.42,36.5586
36,32.3,32.254505
37,57.46,56.25577
38,33.87,33.259518
39,45.0,45.427113
40,44.3,44.51919
41,22.97,26.130398
42,36.0,34.283756
43,27.74,28.503485
44,31.0,29.743603
45,49.78,51.18016
46,25.7,25.895094
47,55.6,58.55826
48,62.93,62.944355
49,40.7,40.387707
50,52.1,53.592323
51,33.0,32.25114
52,34.0,33.849445
53,33.15,33.283085
54,63.0,62.883022
55,44.15,45.32542
56,60.11,59.31665
57,28.28,29.046778
58,32.7,32.540257
59,60.29,60.393787
60,45.27,44.84491
61,35.83,38.397068
62,35.4,34.97056
63,34.85,35.487415
64,34.63,34.72363
65,47.5,48.492496
66,34.9,35.34167
67,46.53,45.90512
68,42.76,43.10146
69,41.1,41.025967
70,32.5,29.80758
71,41.77,41.05217
72,50.01,50.242596
73,22.8,22.748045
74,43.26,42.400684
75,44.63,44.224903
76,37.4,37.256588
77,36.77,36.522823
78,33.0,33.14431
79,58.6,58.343357
80,34.1,33.485023
81,42.19,42.099976
82,36.81,36.876774
83,12.65,13.834466
84,38.3,38.229023
85,32.91,32.852135
86,29.3,29.716429
87,52.78,53.61871
88,32.5,35.070072
89,39.25,39.831165
90,25.52,25.48292
91,35.8,34.83553
92,21.7,21.787035
93,27.0,24.092794
94,34.8,35.033844
95,31.19,31.328432
96,39.5,38.67229
97,31.0,30.660336
98,21.2,21.221077
99,34.8,34.561237
100,31.14,31.418089
101,50.25,53.572384
102,38.8,38.52496
103,52.7,53.18436
104,34.7,34.085613
105,28.1,27.893517
106,26.03,27.508276
107,40.7,39.86249
108,47.2,47.28137
109,44.04,39.8791
110,32.2,32.068554
111,40.83,41.01178
112,27.16,25.606691
113,25.55,24.44229
114,40.7,39.263268
115,33.69,33.226612
116,29.69,31.20134
117,28.0,27.956446
118,38.23,38.483925
119,38.59,38.593906
120,38.43,38.534077
121,41.8,41.665916
122,46.4,45.972244
123,40.6,40.979473
124,32.6,27.862232
125,41.47,40.709682
126,41.9,42.6258
127,36.39,38.657883
128,29.3,28.74898
129,32.3,32.44064
130,29.8,27.474913
131,73.6,71.31407
132,41.79,42.842697
133,26.91,26.862196
134,65.5,65.44641
135,52.5,52.750145
136,34.1,33.70161
137,28.12,30.443167
138,58.24,57.692486
139,27.51,26.353394
140,36.66,37.495296
141,28.44,27.765896
142,65.5,65.410835
143,34.09,34.25008
144,52.33,52.507896
145,35.43,36.491997
146,34.09,28.799494
147,29.41,29.314789
148,50.9,51.820404
149,54.83,57.135456
150,31.66,29.983496
151,28.7,28.332598
152,44.98,44.804577
153,50.49,50.406883
154,61.0,60.861008
155,36.7,36.287525
156,60.56,60.859447
157,46.96,46.79977
158,46.94,46.25699
159,18.9,19.002241
160,39.43,39.12988
161,46.36,45.420242
162,39.7,38.04227
163,46.77,48.991985
164,41.7,41.582752
165,52.92,49.758366
166,29.07,27.16762
167,54.65,55.151234
168,36.87,36.504063
169,40.8,40.072964
170,29.1,28.759336
171,57.15,56.959526
172,32.2,33.195297
173,42.73,42.416622
174,27.9,27.69094
175,37.49,36.67828
176,21.23,22.57372
177,29.0,29.203526
178,27.49,26.632069
179,31.6,31.395601
180,47.87,48.596386
181,36.16,36.361797
182,46.09,46.215145
183,43.64,44.529015
184,28.2,27.819803
185,32.72,32.580933
186,35.3,34.603603
187,12.73,13.667786
188,36.7,37.208668
189,45.3,46.025253
190,48.2,48.17773
191,28.23,28.20991
192,26.7,26.481623
193,38.52,38.929127
194,34.1,33.615276
195,40.91,40.966057
196,68.8,68.82658
197,35.07,34.18922
198,28.8,28.918348
199,48.9,47.716488
200,64.77,63.340683
201,33.81,33.168465
202,23.58,27.841
203,38.4,37.568493
204,40.96,40.229744
205,46.94,48.16259
206,41.58,41.06417
207,35.4,35.016125
208,48.9,48.592922
209,32.5,36.983868
210,47.96,48.557045
211,43.15,43.94608
212,35.7,35.147415
213,40.54,40.766544
214,59.04,60.443245
215,30.31,29.32992
216,50.7,51.099464
217,34.0,33.830128
218,39.54,38.8689
219,47.68,46.895294
220,49.5,49.447712
221,51.15,50.707035
222,50.69,49.39567
223,38.56,37.695114
224,28.67,30.885298
225,37.76,35.95027
226,48.4,47.80715
227,45.8,47.0492
228,42.4,42.016014
229,25.4,25.309072
230,31.5,31.269266
231,34.1,33.442947
232,41.1,40.98814
233,48.5,47.855618
234,45.8,45.346394
235,27.46,26.632164
236,31.2,31.48103
237,33.92,36.584835
238,26.2,26.616018
239,52.42,51.134396
240,27.6,27.700521
241,40.8,41.373287
242,55.86,52.702847
243,51.68,54.32233
244,55.54,56.729565
245,45.43,44.444653
246,34.4,36.76769
247,40.1,39.75757
248,54.3,53.989758
249,38.9,37.54466
250,31.0,28.430317
251,26.81,25.26061
252,57.41,57.681152
253,36.6,37.635326
254,33.91,33.560562
255,53.3,54.29941
256,36.0,34.29262
257,29.84,25.96984
258,27.59,27.80609
259,44.2,43.608364
260,33.6,33.72646
261,35.13,35.341625
262,53.39,54.43465
263,32.83,33.19109
264,61.28,60.79868
265,35.0,34.407906
266,29.1,29.49764
267,27.65,29.380438
268,48.86,51.306164
269,29.35,28.445414
270,30.34,29.209026
271,52.4,54.662735
272,39.5,38.99183
273,27.0,26.578297
274,29.8,30.564022
275,62.31,62.575367
276,25.02,26.665865
277,35.5,35.677437
278,64.1,62.92557
279,41.86,42.209152
280,58.2,61.92141
281,30.43,31.189863
282,29.5,29.344168
283,58.98,59.32372
284,45.2,44.516308
285,62.2,63.488323
286,57.96,58.134647
287,33.05,33.862316
288,25.8,26.442286
289,60.54,55.84964
290,29.27,29.163717
291,27.3,26.457788
292,46.8,45.370243
293,26.5,26.040468
294,30.92,31.032366
295,40.06,40.58005
296,39.02,38.260082
297,61.0,61.033863
298,36.0,34.52438
299,37.2,37.1818
300,45.8,44.230347
301,34.14,35.003223
302,30.62,28.306156
303,44.8,43.97386
304,44.25,43.772053
305,30.8,30.844965
306,33.72,33.835842
307,40.92,41.67012
308,43.09,43.578686
309,63.55,62.83242
310,42.1,40.587917
311,37.97,38.03649
312,67.96,69.3825
313,67.45,67.004654
314,58.7,59.1682
315,62.95,61.975067
316,31.69,33.064377
317,35.81,35.684433
318,44.9,45.069454
319,38.85,38.32014
320,32.6,32.467262
321,35.6,35.379097
322,61.98,61.7087
323,52.3,53.554077
324,35.2,35.319004
325,33.54,33.308556
326,20.89,20.096777
327,46.13,45.17448
328,27.1,27.102474
329,32.0,31.640574
330,38.52,38.94928
331,35.42,35.235035
332,44.63,44.3318
333,45.6,45.697086
334,28.8,29.93635
335,69.26,69.71229
336,36.09,36.697025
337,53.4,52.96249
338,32.11,32.566517
339,69.7,68.25344
340,56.35,56.585247
341,36.6,36.442883
342,34.3,34.18475
343,29.78,29.943684
344,28.4,28.451183
345,32.28,31.930182
346,31.2,27.949842
347,41.6,40.491444
348,27.2,26.94425
349,48.95,49.021194
350,49.5,49.058464
351,44.5,43.654564
352,30.0,27.978981
353,59.33,60.008816
354,27.4,27.78095
355,61.3,60.87591
356,52.98,50.15003
357,33.1,32.19888
358,22.7,22.621983
359,56.21,56.304317
360,43.6,43.334423
361,29.9,28.889866
362,55.58,54.40503
363,31.42,32.021847
364,52.42,50.932285
365,41.4,40.655857
366,25.0,24.817392
367,29.46,28.333675
368,35.28,37.156597
369,38.01,38.1336
370,52.4,55.34727
371,40.24,39.73631
372,39.37,38.90919
373,32.2,30.99396
374,36.5,36.869343
375,35.8,35.871998
376,32.45,31.660366
377,30.9,31.04558
378,45.3,45.77011
379,27.3,28.539625
380,44.79,44.482403
381,38.0,37.368244
382,29.05,29.12098
383,28.7,28.720263
384,25.97,27.490189
385,33.5,33.880024
386,54.9,56.348255
387,34.58,34.116863
388,31.9,31.486778
389,57.46,57.601982
390,42.42,41.46858
391,42.75,44.40883
392,59.22,59.00518
393,34.7,34.564465
394,58.2,57.035686
395,32.1,29.665672
396,62.48,62.136127
397,67.2,65.34612
398,29.95,29.675875
399,52.3,50.35999
400,27.44,27.266546
401,28.78,29.384432
402,74.0,71.624214
403,66.33,64.3062
404,39.45,40.575733
405,48.86,50.305744
