,IFT,IFT_pred
1460,58.97,58.969999999999956
1304,35.89,35.892287499999995
687,33.8,33.81625000000001
1540,64.0,64.0
447,47.87,47.905618749999924
1124,42.2,42.20368749999995
390,28.32,28.317999999999994
859,33.8,33.800000000000026
1331,31.62,31.6042604166666
196,48.8,48.81271428571436
544,36.64,36.44675825892857
1131,32.97,33.01827343749997
834,50.7,50.699374999999925
1602,36.0,35.99275
1208,38.4,37.91135018713929
1523,58.13,58.13000000000009
106,39.5,39.49346123153807
75,30.8,30.84119791666667
1358,42.75,42.75
11,34.08,34.05792499999996
952,34.5,34.5
360,34.62,34.60768749999993
468,37.67,37.661608333333376
1701,38.02,38.018712499999985
58,40.29,40.20357880835378
581,29.1,29.108392857142814
101,38.62,38.621749999999935
376,27.53,27.536062499999996
1472,65.78,65.78000000000002
626,46.9,46.77947767857147
358,41.2,41.39245255924629
814,36.2,36.19999999999997
772,41.5,41.689899215367966
562,32.4,32.40000000000005
1076,35.3,35.300000000000026
254,45.2,45.22458333333327
810,37.9,37.90177500000005
165,51.32,51.32000000000007
1644,35.9,35.899148457792236
747,38.2,38.16898807043647
437,29.96,29.960375000000028
1581,35.6,35.59774999999995
1167,27.25,27.22282579365079
1745,39.13,39.13000000000007
629,36.4,36.402500000000046
1406,67.95,67.9499999999999
1717,53.78,53.736333333333405
1491,61.54,61.53999999999998
220,49.5,49.5
1713,36.89,36.91207613636363
1353,51.47,51.46178124999991
906,41.3,41.300000000000054
85,30.41,30.410000000000007
1228,64.04,64.03999999999998
1352,52.02,52.019999999999996
1107,31.0,30.958145833333326
1405,69.33,69.32999999999996
277,35.95,35.939812499999974
1200,15.45,15.450000000000022
228,28.8,28.812090909090898
1485,65.91,65.90999999999993
1590,33.61,33.61
1634,35.84,35.86321720779222
448,26.03,26.078139886675807
80,45.59,45.59162426948056
1039,39.4,39.393750000000054
65,47.9,47.92262500000006
861,33.2,33.19999999999998
975,48.8,48.800000000000075
303,36.84,36.840000000000025
943,38.8,38.798331081081116
1277,43.74,43.73999999999991
567,39.7,39.69252548361479
939,41.1,41.131429383116824
1,34.96,34.966812500000024
1059,50.6,50.589499999999944
59,36.47,36.469999999999956
668,34.5,34.458581249999995
