,IFT,IFT_pred
1460,58.97,58.969999999999956
1304,35.89,35.87442045454545
687,33.8,33.803020833333356
1540,64.0,64.0
447,47.87,47.88277529761898
1124,42.2,42.20213392857137
390,28.32,28.302361111111104
859,33.8,33.800000000000026
1331,31.62,31.57177083333327
196,48.8,48.825171875000066
544,36.64,36.55795434263448
1131,32.97,33.06576470588233
834,50.7,50.699999999999925
1602,36.0,36.01531250000001
1208,38.4,38.06735886644406
1523,58.13,58.13000000000009
106,39.5,39.48983710858585
75,30.8,30.95109895833334
1358,42.75,42.75
11,34.08,34.07999999999996
952,34.5,34.5
360,34.62,34.59849999999994
468,37.67,37.69084077380956
1701,38.02,38.009687499999984
58,40.29,40.186739583333306
581,29.1,29.110767857142815
101,38.62,38.62956249999993
376,27.53,27.54005769230768
1472,65.78,65.78318750000001
626,46.9,46.85593750000005
358,41.2,41.32660773026312
814,36.2,36.189434782608664
772,41.5,41.5630865497076
562,32.4,32.46008333333338
1076,35.3,35.300000000000026
254,45.2,45.23195833333328
810,37.9,37.87009821428576
165,51.32,51.32000000000007
1644,35.9,35.92291294642861
747,38.2,38.16468327471137
437,29.96,29.960000000000026
1581,35.6,35.60249999999995
1167,27.25,27.1742954787234
1745,39.13,39.129937500000075
629,36.4,36.41606250000005
1406,67.95,67.9499999999999
1717,53.78,53.74905000000008
1491,61.54,61.53999999999998
220,49.5,49.5
1713,36.89,36.895677083333325
1353,51.47,51.46646874999991
906,41.3,41.300000000000054
85,30.41,30.384326923076934
1228,64.04,64.03999999999998
1352,52.02,52.019999999999996
1107,31.0,30.975895833333333
1405,69.33,69.32999999999996
277,35.95,36.014849702380914
1200,15.45,15.450000000000022
228,28.8,28.812712121212115
1485,65.91,65.90999999999993
1590,33.61,33.61
1634,35.84,35.852083333333354
448,26.03,26.048445833333318
80,45.59,45.60557708333338
1039,39.4,39.39437500000005
65,47.9,47.90000000000006
861,33.2,33.19999999999998
975,48.8,48.800000000000075
303,36.84,36.840000000000025
943,38.8,38.770937500000045
1277,43.74,43.73999999999991
567,39.7,39.66765713659704
939,41.1,41.11077976190471
1,34.96,34.96000000000002
1059,50.6,50.59999999999994
59,36.47,36.41710416666662
668,34.5,34.50855978260869
249,41.6,41.60552083333327
1658,42.13,42.197008771929895
121,38.0,38.14108958333333
857,34.2,34.199999999999974
213,28.5,28.60716217076639
1270,52.29,52.28999999999998
28,43.9,43.900000000000055
554,25.27,25.30237916666665
1247,48.04,48.03999999999997
1345,65.85,65.85000000000004
1123,36.2,36.16024999999997
1292,53.4,53.40000000000005
405,30.64,30.637812500000017
1217,43.0,42.95255
1307,35.24,35.18253749999995
1176,34.14,34.26533243606883
1503,51.64,51.639999999999965
1296,45.97,45.96999999999993
153,29.7,29.702499999999997
1627,47.16,47.142393749999954
1310,35.24,35.239999999999945
337,35.8,35.79687500000003
423,40.96,40.93480833333336
1415,53.44,53.44000000000002
1547,56.2,56.19999999999992
1191,18.83,18.829999999999988
1064,43.9,43.89750000000006
994,63.1,63.10000000000002
469,42.0,42.0187828125
991,64.9,64.89999999999998
1642,37.89,37.8118156168831
1355,37.24,37.243124999999935
93,34.72,34.692229166666635
1316,67.55,67.5500000000001
494,40.21,40.24155833333336
1733,35.88,35.88000000000007
823,28.9,28.90000000000004
1109,28.9,28.919205357142896
1009,46.7,46.69999999999993
1524,54.41,54.40999999999993
54,53.33,53.333593749999956
1622,33.7,33.69211111111109
1465,54.98,54.97999999999998
1272,47.88,47.88000000000008
568,27.3,27.299999999999983
338,35.36,35.362750000000005
1466,53.66,53.65999999999995
244,28.8,28.67045386200678
1138,30.73,30.39136327052578
580,23.7,23.690625000000033
916,37.4,37.39500000000005
354,29.87,29.903495833333277
866,52.9,52.90562500000006
1545,37.7,37.69999999999997
1008,48.2,48.19999999999993
840,40.1,40.099999999999945
1635,35.71,35.683444444444476
312,31.5,31.467343749999998
295,34.25,34.25
816,35.7,35.695684782608666
1267,52.67,52.67000000000005
910,40.2,40.186749999999954
1232,60.41,60.40999999999993
1260,64.41,64.40999999999993
663,30.1,30.110416666666623
1090,60.6,60.6
672,33.4,33.394375000000046
449,26.14,26.133820833333363
131,23.4,23.424750000000035
625,40.7,40.71979166666662
797,28.3,28.29999999999999
644,30.6,30.607604166666626
526,39.83,39.77039663239535
498,29.17,28.959922050816907
690,48.5,48.43610208333333
1017,41.6,41.599999999999945
1220,40.0,40.0
250,58.5,58.516553124999994
595,41.2,41.19625694444439
849,38.0,38.0
162,24.9,25.116138805188633
1696,58.49,58.48999999999988
1380,56.1,56.09999999999998
443,38.29,38.31768269230766
97,51.77,51.769999999999996
352,32.36,32.4097
428,29.25,29.23025763888889
