,IFT,IFT ANN model,IFT ANN model
0,29.52,28.624264,28.624264
1,33.5,33.14388,33.14388
2,30.5,31.16173,31.16173
3,25.0,26.7548,26.7548
4,34.5,37.70873,37.70873
5,27.2,28.586515,28.586515
6,55.4,55.98103,55.98103
7,30.3,30.029367,30.029367
8,29.0,28.759768,28.759768
9,37.36,38.50937,38.50937
10,30.2,30.260748,30.260748
11,34.8,33.75786,33.75786
12,46.2,45.426388,45.426388
13,58.22,54.995377,54.995377
14,29.0,30.088863,30.088863
15,27.0,27.159975,27.159975
16,19.4,16.758524,16.758524
17,34.6,34.14668,34.14668
18,59.0,56.89807,56.89807
19,39.75,39.866505,39.866505
20,32.15,30.771069,30.771069
21,51.7,50.810574,50.810574
22,30.91,31.350952,31.350952
23,29.15,31.354708,31.354708
24,31.6,28.915842,28.915842
25,60.89,60.71204,60.71204
26,33.48,33.547237,33.547237
27,45.5,47.40302,47.40302
28,48.3,48.99586,48.99586
29,35.1,35.758556,35.758556
30,44.36,43.89316,43.89316
31,38.5,38.474644,38.474644
32,39.8,39.919025,39.919025
33,22.4,19.363935,19.363935
34,48.87,51.158688,51.158688
35,36.42,36.484924,36.484924
36,32.3,32.24228,32.24228
37,57.46,55.3855,55.3855
38,33.87,33.608982,33.608982
39,45.0,43.683292,43.683292
40,44.3,44.44115,44.44115
41,22.97,26.115496,26.115496
42,36.0,35.80736,35.80736
43,27.74,28.825272,28.825272
44,31.0,30.140543,30.140543
45,49.78,50.44697,50.44697
46,25.7,25.689917,25.689917
47,55.6,57.408314,57.408314
48,62.93,61.82272,61.82272
49,40.7,40.393894,40.393894
50,52.1,51.816338,51.816338
51,33.0,32.35962,32.35962
52,34.0,33.863644,33.863644
53,33.15,33.26235,33.26235
54,63.0,62.68491,62.68491
55,44.15,45.515236,45.515236
56,60.11,60.76439,60.76439
57,28.28,29.654165,29.654165
58,32.7,32.399654,32.399654
59,60.29,59.401257,59.401257
60,45.27,45.108395,45.108395
61,35.83,38.412502,38.412502
62,35.4,35.074894,35.074894
63,34.85,35.673405,35.673405
64,34.63,34.425762,34.425762
65,47.5,48.542034,48.542034
66,34.9,35.39107,35.39107
67,46.53,45.887936,45.887936
68,42.76,43.192135,43.192135
69,41.1,41.148937,41.148937
70,32.5,29.640139,29.640139
71,41.77,41.366634,41.366634
72,50.01,49.900345,49.900345
73,22.8,22.910803,22.910803
74,43.26,42.309418,42.309418
75,44.63,44.710888,44.710888
76,37.4,37.08181,37.08181
77,36.77,36.79415,36.79415
78,33.0,33.12027,33.12027
79,58.6,58.37091,58.37091
80,34.1,33.183525,33.183525
81,42.19,42.4051,42.4051
82,36.81,36.859287,36.859287
83,12.65,14.2733555,14.2733555
84,38.3,38.21674,38.21674
85,32.91,32.470844,32.470844
86,29.3,30.109129,30.109129
87,52.78,52.877045,52.877045
88,32.5,34.911476,34.911476
89,39.25,39.610203,39.610203
90,25.52,25.663187,25.663187
91,35.8,33.21207,33.21207
92,21.7,22.026917,22.026917
93,27.0,24.556652,24.556652
94,34.8,34.95311,34.95311
95,31.19,31.660612,31.660612
96,39.5,38.983,38.983
97,31.0,31.135956,31.135956
98,21.2,21.228277,21.228277
99,34.8,34.650604,34.650604
100,31.14,31.249771,31.249771
101,50.25,53.86706,53.86706
102,38.8,39.020023,39.020023
103,52.7,52.998837,52.998837
104,34.7,34.177803,34.177803
105,28.1,27.965725,27.965725
106,26.03,27.128063,27.128063
107,40.7,40.45046,40.45046
108,47.2,47.151226,47.151226
109,44.04,40.43401,40.43401
110,32.2,32.536903,32.536903
111,40.83,41.456493,41.456493
112,27.16,26.799082,26.799082
113,25.55,24.466639,24.466639
114,40.7,39.053165,39.053165
115,33.69,33.80495,33.80495
116,29.69,31.444843,31.444843
117,28.0,28.168684,28.168684
118,38.23,40.096046,40.096046
119,38.59,39.08209,39.08209
120,38.43,37.893528,37.893528
121,41.8,41.53049,41.53049
122,46.4,46.032864,46.032864
123,40.6,40.28838,40.28838
124,32.6,27.930265,27.930265
125,41.47,41.61256,41.61256
126,41.9,42.513535,42.513535
127,36.39,39.05067,39.05067
128,29.3,29.165808,29.165808
129,32.3,32.241028,32.241028
130,29.8,27.938278,27.938278
131,73.6,71.645,71.645
132,41.79,42.804203,42.804203
133,26.91,27.119452,27.119452
134,65.5,66.667465,66.667465
135,52.5,51.948875,51.948875
136,34.1,33.61934,33.61934
137,28.12,29.536852,29.536852
138,58.24,58.23082,58.23082
139,27.51,27.04179,27.04179
140,36.66,37.235653,37.235653
141,28.44,27.995428,27.995428
142,65.5,65.5374,65.5374
143,34.09,34.101612,34.101612
144,52.33,52.399708,52.399708
145,35.43,37.01353,37.01353
146,34.09,29.482016,29.482016
147,29.41,29.5564,29.5564
148,50.9,52.572636,52.572636
149,54.83,56.18025,56.18025
150,31.66,30.126287,30.126287
151,28.7,28.88977,28.88977
152,44.98,44.630928,44.630928
153,50.49,48.82331,48.82331
154,61.0,59.469868,59.469868
155,36.7,36.509407,36.509407
156,60.56,60.9869,60.9869
157,46.96,46.26647,46.26647
158,46.94,46.12482,46.12482
159,18.9,18.614096,18.614096
160,39.43,39.539745,39.539745
161,46.36,45.796932,45.796932
162,39.7,38.25565,38.25565
163,46.77,47.705917,47.705917
164,41.7,41.810345,41.810345
165,52.92,51.496464,51.496464
166,29.07,27.552816,27.552816
167,54.65,55.482197,55.482197
168,36.87,36.64722,36.64722
169,40.8,39.563225,39.563225
170,29.1,29.986017,29.986017
171,57.15,55.997295,55.997295
172,32.2,32.4396,32.4396
173,42.73,42.949818,42.949818
174,27.9,28.01367,28.01367
175,37.49,36.57935,36.57935
176,21.23,23.073072,23.073072
177,29.0,28.663752,28.663752
178,27.49,27.379892,27.379892
179,31.6,31.521751,31.521751
180,47.87,48.047314,48.047314
181,36.16,36.712925,36.712925
182,46.09,46.268314,46.268314
183,43.64,44.24756,44.24756
184,28.2,28.382954,28.382954
185,32.72,34.22165,34.22165
186,35.3,35.09586,35.09586
187,12.73,13.386501,13.386501
188,36.7,37.69765,37.69765
189,45.3,46.18079,46.18079
190,48.2,47.98927,47.98927
191,28.23,28.31714,28.31714
192,26.7,26.503475,26.503475
193,38.52,38.86952,38.86952
194,34.1,34.067345,34.067345
195,40.91,41.06184,41.06184
196,68.8,67.99376,67.99376
197,35.07,34.44543,34.44543
198,28.8,28.672398,28.672398
199,48.9,48.37962,48.37962
200,64.77,62.77498,62.77498
201,33.81,33.14508,33.14508
202,23.58,28.09873,28.09873
203,38.4,38.204994,38.204994
204,40.96,39.19155,39.19155
205,46.94,48.301678,48.301678
206,41.58,40.74854,40.74854
207,35.4,34.73631,34.73631
208,48.9,48.5462,48.5462
209,32.5,37.065865,37.065865
210,47.96,48.786327,48.786327
211,43.15,43.954338,43.954338
212,35.7,35.312664,35.312664
213,40.54,40.64113,40.64113
214,59.04,59.863426,59.863426
