,IFT,IFT ANN model,IFT ANN model,IFT ANN model
0,29.52,28.462334,28.462334,28.462334
1,33.5,33.26187,33.26187,33.26187
2,30.5,31.003515,31.003515,31.003515
3,25.0,26.84365,26.84365,26.84365
4,34.5,36.946217,36.946217,36.946217
5,27.2,28.091574,28.091574,28.091574
6,55.4,57.498226,57.498226,57.498226
7,30.3,30.404966,30.404966,30.404966
8,29.0,29.292112,29.292112,29.292112
9,37.36,38.328762,38.328762,38.328762
10,30.2,28.80385,28.80385,28.80385
11,34.8,33.892235,33.892235,33.892235
12,46.2,45.023266,45.023266,45.023266
13,58.22,56.380848,56.380848,56.380848
14,29.0,28.83813,28.83813,28.83813
15,27.0,26.461939,26.461939,26.461939
16,19.4,16.269062,16.269062,16.269062
17,34.6,34.31972,34.31972,34.31972
18,59.0,57.848125,57.848125,57.848125
19,39.75,39.499805,39.499805,39.499805
20,32.15,31.495516,31.495516,31.495516
21,51.7,51.460068,51.460068,51.460068
22,30.91,30.96346,30.96346,30.96346
23,29.15,29.878149,29.878149,29.878149
24,31.6,29.689322,29.689322,29.689322
25,60.89,60.02721,60.02721,60.02721
26,33.48,33.01367,33.01367,33.01367
27,45.5,46.187557,46.187557,46.187557
28,48.3,47.915794,47.915794,47.915794
29,35.1,35.145863,35.145863,35.145863
30,44.36,42.63378,42.63378,42.63378
31,38.5,37.91115,37.91115,37.91115
32,39.8,40.096546,40.096546,40.096546
33,22.4,18.471355,18.471355,18.471355
34,48.87,51.040607,51.040607,51.040607
35,36.42,35.79263,35.79263,35.79263
36,32.3,32.283573,32.283573,32.283573
37,57.46,56.583164,56.583164,56.583164
38,33.87,35.848618,35.848618,35.848618
39,45.0,41.724575,41.724575,41.724575
40,44.3,43.86041,43.86041,43.86041
41,22.97,23.875757,23.875757,23.875757
42,36.0,33.947052,33.947052,33.947052
43,27.74,30.005482,30.005482,30.005482
44,31.0,28.433403,28.433403,28.433403
45,49.78,49.6099,49.6099,49.6099
46,25.7,25.178175,25.178175,25.178175
47,55.6,58.748775,58.748775,58.748775
48,62.93,60.26511,60.26511,60.26511
49,40.7,40.31902,40.31902,40.31902
50,52.1,48.707756,48.707756,48.707756
51,33.0,32.000053,32.000053,32.000053
52,34.0,33.44712,33.44712,33.44712
53,33.15,33.342327,33.342327,33.342327
54,63.0,63.31376,63.31376,63.31376
55,44.15,44.427364,44.427364,44.427364
56,60.11,61.70346,61.70346,61.70346
57,28.28,29.39366,29.39366,29.39366
58,32.7,32.20419,32.20419,32.20419
59,60.29,57.412365,57.412365,57.412365
60,45.27,45.915634,45.915634,45.915634
61,35.83,37.32269,37.32269,37.32269
62,35.4,34.778103,34.778103,34.778103
63,34.85,34.800335,34.800335,34.800335
64,34.63,34.687927,34.687927,34.687927
65,47.5,48.20183,48.20183,48.20183
66,34.9,34.41609,34.41609,34.41609
67,46.53,44.879208,44.879208,44.879208
68,42.76,42.772083,42.772083,42.772083
69,41.1,40.39779,40.39779,40.39779
70,32.5,29.364283,29.364283,29.364283
71,41.77,41.25188,41.25188,41.25188
72,50.01,48.4175,48.4175,48.4175
73,22.8,21.220438,21.220438,21.220438
74,43.26,40.300724,40.300724,40.300724
75,44.63,45.437435,45.437435,45.437435
76,37.4,36.966423,36.966423,36.966423
77,36.77,36.66045,36.66045,36.66045
78,33.0,32.098545,32.098545,32.098545
79,58.6,57.732563,57.732563,57.732563
80,34.1,33.171528,33.171528,33.171528
81,42.19,42.684284,42.684284,42.684284
82,36.81,35.994553,35.994553,35.994553
83,12.65,13.07572,13.07572,13.07572
84,38.3,37.54085,37.54085,37.54085
85,32.91,32.340813,32.340813,32.340813
86,29.3,26.101936,26.101936,26.101936
87,52.78,53.16481,53.16481,53.16481
88,32.5,34.664604,34.664604,34.664604
89,39.25,39.655987,39.655987,39.655987
90,25.52,25.059736,25.059736,25.059736
91,35.8,35.057854,35.057854,35.057854
92,21.7,21.53128,21.53128,21.53128
93,27.0,22.693144,22.693144,22.693144
94,34.8,34.674023,34.674023,34.674023
95,31.19,31.707256,31.707256,31.707256
96,39.5,38.94808,38.94808,38.94808
97,31.0,30.432806,30.432806,30.432806
98,21.2,20.64038,20.64038,20.64038
99,34.8,34.245613,34.245613,34.245613
100,31.14,31.262125,31.262125,31.262125
101,50.25,54.794323,54.794323,54.794323
102,38.8,37.586796,37.586796,37.586796
103,52.7,52.55441,52.55441,52.55441
104,34.7,34.105698,34.105698,34.105698
105,28.1,27.669289,27.669289,27.669289
106,26.03,25.453249,25.453249,25.453249
107,40.7,39.695385,39.695385,39.695385
108,47.2,46.840076,46.840076,46.840076
109,44.04,39.4203,39.4203,39.4203
110,32.2,31.567425,31.567425,31.567425
111,40.83,41.060444,41.060444,41.060444
112,27.16,25.395668,25.395668,25.395668
113,25.55,22.272577,22.272577,22.272577
