,IFT,IFT_pred
1611,29.52,30.044064
949,33.5,33.722633
680,30.5,31.654442
141,25.0,27.510126
1620,34.5,38.049015
217,27.2,27.686848
559,55.4,54.078766
791,30.3,29.768803
607,29.0,30.635963
70,37.36,37.424736
1562,30.2,35.78037
600,34.8,34.144333
773,46.2,45.853573
1686,58.22,58.14519
1177,29.0,30.623869
1117,27.0,26.640442
209,19.4,22.73666
785,34.6,33.40979
194,59.0,58.192123
1742,39.75,40.115654
430,32.15,31.68157
592,51.7,51.425453
15,30.91,30.496538
385,29.15,29.3391
149,31.6,30.922628
1478,60.89,62.506863
12,33.48,31.879461
120,45.5,48.66682
722,48.3,47.588
1052,35.1,35.35945
1601,44.36,43.7549
681,38.5,39.269726
1721,39.8,39.83539
236,22.4,22.981096
1697,48.87,53.775322
1730,36.42,37.027718
757,32.3,32.370617
1656,57.46,57.113113
441,33.87,34.063023
1218,45.0,44.983917
871,44.3,43.828056
517,22.97,22.242987
1221,36.0,32.68414
419,27.74,28.165617
208,31.0,29.866852
1420,49.78,49.83041
576,25.7,27.010986
1381,55.6,56.445457
1526,62.93,62.747547
777,40.7,40.761826
1570,52.1,52.749805
824,33.0,32.28011
954,34.0,34.031464
1624,33.15,30.7667
962,63.0,62.384285
176,44.15,43.969563
1235,60.11,55.13111
86,28.28,30.065432
689,32.7,33.235203
1518,60.29,59.545727
46,45.27,45.492603
186,35.83,35.13898
917,35.4,35.68051
461,34.85,35.489082
1663,34.63,34.506493
166,47.5,47.909256
634,34.9,35.974735
540,46.53,49.313507
1763,42.76,42.054356
807,41.1,41.59723
139,32.5,32.607647
1765,41.77,40.477108
1419,50.01,49.746124
133,22.8,22.866917
1274,43.26,41.51317
1248,44.63,43.992657
811,37.4,37.13689
1632,36.77,36.80614
1561,33.0,35.777122
864,58.6,57.28307
820,34.1,34.011284
1720,42.19,42.355904
1729,36.81,38.32075
1203,12.65,13.418328
880,38.3,38.15591
50,32.91,32.612103
117,29.3,28.325947
1417,52.78,53.54223
421,32.5,35.031322
1630,39.25,39.827324
534,25.52,25.99635
1557,35.8,34.355347
617,21.7,23.042368
