,IFT,IFT_pred
1611,29.52,29.406992
949,33.5,34.40816
680,30.5,31.131168
141,25.0,27.629173
1620,34.5,37.457764
217,27.2,28.602978
559,55.4,55.007812
791,30.3,29.93938
607,29.0,30.352085
70,37.36,38.18131
1562,30.2,30.872202
600,34.8,33.12833
773,46.2,45.05488
1686,58.22,56.86182
1177,29.0,29.969791
1117,27.0,26.82464
209,19.4,14.114906
785,34.6,34.17342
194,59.0,58.309242
1742,39.75,40.35446
430,32.15,32.80955
592,51.7,50.961967
15,30.91,30.812757
385,29.15,29.411804
149,31.6,30.802765
1478,60.89,61.17931
12,33.48,33.330215
120,45.5,48.19581
722,48.3,48.07934
1052,35.1,34.79862
1601,44.36,43.506233
681,38.5,38.243465
1721,39.8,40.275593
236,22.4,18.151085
1697,48.87,53.490242
1730,36.42,36.68407
757,32.3,32.30636
1656,57.46,57.369774
441,33.87,34.775208
1218,45.0,43.8206
871,44.3,44.333008
517,22.97,26.40354
1221,36.0,36.038574
419,27.74,28.112114
208,31.0,29.359077
1420,49.78,50.097164
576,25.7,26.419582
1381,55.6,56.69965
1526,62.93,62.5848
777,40.7,39.815495
1570,52.1,51.293297
824,33.0,32.57228
954,34.0,33.85366
1624,33.15,33.30748
962,63.0,62.823532
176,44.15,44.046402
1235,60.11,58.072906
86,28.28,29.807167
689,32.7,33.25895
1518,60.29,59.373474
46,45.27,45.561
186,35.83,36.635372
917,35.4,36.162807
461,34.85,34.310307
1663,34.63,33.865135
166,47.5,46.92622
634,34.9,35.249153
540,46.53,46.30599
1763,42.76,42.420834
807,41.1,41.28855
139,32.5,30.911602
1765,41.77,41.955807
1419,50.01,49.918003
133,22.8,23.702875
1274,43.26,42.861572
1248,44.63,44.934464
811,37.4,37.60153
1632,36.77,37.289757
1561,33.0,34.08935
864,58.6,58.36343
820,34.1,33.319313
1720,42.19,42.587013
1729,36.81,36.935623
1203,12.65,14.403159
880,38.3,38.36056
50,32.91,32.876495
117,29.3,30.579327
1417,52.78,52.177956
421,32.5,34.97726
1630,39.25,39.80038
534,25.52,25.667181
1557,35.8,34.970005
617,21.7,22.968159
118,27.0,25.570736
888,34.8,34.884804
288,31.19,31.684788
847,39.5,39.345787
893,31.0,29.985815
619,21.2,22.605087
855,34.8,34.49712
51,31.14,31.223103
156,50.25,53.27885
711,38.8,39.287388
769,52.7,53.546055
919,34.7,34.518738
825,28.1,28.502821
1340,26.03,26.748323
1036,40.7,39.25542
976,47.2,47.46087
1575,44.04,42.48215
1105,32.2,31.764555
1753,40.83,40.47747
1600,27.16,27.08464
1187,25.55,24.363836
908,40.7,39.785027
1366,33.69,33.554165
426,29.69,28.896164
282,28.0,28.318838
1254,38.23,38.58172
293,38.59,39.03404
33,38.43,37.879055
838,41.8,41.524048
1548,46.4,48.616646
1559,40.6,41.86418
126,32.6,28.670607
463,41.47,41.67373
1740,41.9,42.512863
1619,36.39,39.1553
652,29.3,28.634556
787,32.3,32.29023
1212,29.8,29.987053
1225,73.6,72.288506
424,41.79,43.148872
515,26.91,27.029156
1022,65.5,66.53516
1467,52.5,52.41733
746,34.1,33.533997
1334,28.12,29.442654
1236,58.24,55.936832
315,27.51,27.690897
432,36.66,37.207775
283,28.44,27.685387
961,65.5,66.00515
1665,34.09,34.356747
87,52.33,51.727333
388,35.43,35.129646
1588,34.09,32.986423
344,29.41,29.994997
966,50.9,52.51551
1382,54.83,55.405388
1608,31.66,31.63128
695,28.7,28.614601
1273,44.98,44.964767
1539,50.49,50.776207
654,61.0,59.340336
851,36.7,36.10368
1127,60.56,60.22233
300,46.96,46.973076
334,46.94,46.667095
653,18.9,19.196777
475,39.43,38.008835
1718,46.36,46.087708
912,39.7,39.139484
436,46.77,46.382973
1066,41.7,42.136322
1320,52.92,52.48124
513,29.07,27.914675
1266,54.65,55.47169
495,36.87,37.88013
806,40.8,41.084213
212,29.1,28.348429
1379,57.15,57.209747
1648,32.2,33.702667
47,42.73,43.219913
697,27.9,28.328428
1303,37.49,37.219845
557,21.23,22.682148
1186,29.0,29.49805
346,27.49,27.527538
762,31.6,31.21065
1423,47.87,49.64592
1306,36.16,35.196907
1428,46.09,45.47494
292,43.64,45.236305
246,28.2,28.579256
1370,32.72,30.545364
1075,35.3,35.061886
1202,12.73,14.519055
1121,36.7,37.304817
1158,45.3,45.395443
1005,48.2,48.122643
395,28.23,28.67841
589,26.7,27.194733
1682,38.52,39.052876
1080,34.1,34.009563
1629,40.91,40.610725
1471,68.8,69.22358
370,35.07,34.856895
795,28.8,29.431145
703,48.9,49.74209
1450,64.77,62.475506
546,33.81,34.048386
189,23.58,26.369873
1041,38.4,38.32731
1356,40.96,39.150112
492,46.94,49.005436
1390,41.58,41.95436
664,35.4,35.011623
