,IFT,IFT_pred
1611,29.52,29.734114
949,33.5,34.372074
680,30.5,30.972145
141,25.0,27.591509
1620,34.5,37.530052
217,27.2,28.319609
559,55.4,54.78908
791,30.3,29.899265
607,29.0,30.356707
70,37.36,38.027615
1562,30.2,31.013754
600,34.8,33.2603
773,46.2,45.127678
1686,58.22,56.65933
1177,29.0,30.117634
1117,27.0,26.779139
209,19.4,14.414876
785,34.6,34.16618
194,59.0,58.221478
1742,39.75,40.238304
430,32.15,32.510433
592,51.7,50.799706
15,30.91,30.939392
385,29.15,29.277168
149,31.6,30.712433
1478,60.89,61.132206
12,33.48,33.357624
120,45.5,48.24816
722,48.3,48.010326
1052,35.1,34.835552
1601,44.36,43.421104
681,38.5,38.35315
1721,39.8,40.33543
236,22.4,18.21355
1697,48.87,53.37898
1730,36.42,36.755882
757,32.3,32.32057
1656,57.46,57.19108
441,33.87,34.696236
1218,45.0,44.188095
871,44.3,44.239006
517,22.97,26.070473
1221,36.0,35.92417
419,27.74,28.063313
208,31.0,29.362894
1420,49.78,50.208508
576,25.7,26.080883
1381,55.6,56.845142
1526,62.93,62.686764
777,40.7,39.82191
1570,52.1,51.211777
824,33.0,32.58007
954,34.0,33.72939
1624,33.15,33.332287
962,63.0,62.877327
176,44.15,44.137825
1235,60.11,58.09938
86,28.28,29.764448
689,32.7,33.37675
1518,60.29,59.504036
46,45.27,45.59706
186,35.83,36.17482
917,35.4,36.179596
461,34.85,34.264824
1663,34.63,33.66888
166,47.5,46.81292
634,34.9,35.403584
540,46.53,46.20198
1763,42.76,42.537704
807,41.1,41.239094
139,32.5,30.946123
1765,41.77,41.885372
1419,50.01,49.901325
133,22.8,23.746462
1274,43.26,43.122036
1248,44.63,45.034954
811,37.4,37.563972
1632,36.77,37.126606
1561,33.0,34.218727
864,58.6,58.547947
820,34.1,33.4801
1720,42.19,42.566547
1729,36.81,36.849155
1203,12.65,14.397011
880,38.3,38.36259
50,32.91,32.683044
117,29.3,29.85322
1417,52.78,52.187286
421,32.5,34.977406
1630,39.25,39.92218
534,25.52,25.551271
1557,35.8,35.171326
617,21.7,22.947357
118,27.0,25.526815
888,34.8,35.00268
288,31.19,31.80297
847,39.5,39.294323
893,31.0,30.155678
619,21.2,22.761219
855,34.8,34.57522
51,31.14,31.23477
156,50.25,53.44385
711,38.8,39.14564
769,52.7,53.403793
919,34.7,34.489666
825,28.1,28.522049
1340,26.03,26.994171
1036,40.7,39.310505
976,47.2,47.34231
1575,44.04,42.318394
1105,32.2,31.89855
1753,40.83,40.551144
1600,27.16,27.1408
1187,25.55,24.704731
908,40.7,39.74145
1366,33.69,33.683876
426,29.69,28.88766
282,28.0,28.18945
1254,38.23,38.554695
293,38.59,38.69089
33,38.43,37.827473
838,41.8,41.645256
1548,46.4,48.88472
1559,40.6,42.130867
126,32.6,28.387117
463,41.47,41.901875
1740,41.9,42.772465
1619,36.39,39.208607
652,29.3,28.773037
787,32.3,32.26229
1212,29.8,29.607409
1225,73.6,72.35858
424,41.79,43.20886
515,26.91,26.602364
1022,65.5,66.530426
1467,52.5,52.578102
746,34.1,33.48971
1334,28.12,29.423286
1236,58.24,55.715298
315,27.51,27.836868
432,36.66,37.171394
283,28.44,27.703829
961,65.5,66.164764
1665,34.09,34.33654
87,52.33,51.78093
388,35.43,35.327576
1588,34.09,33.349655
344,29.41,29.810287
966,50.9,52.554783
1382,54.83,55.243336
1608,31.66,31.347786
695,28.7,28.582262
1273,44.98,45.130966
1539,50.49,50.78344
654,61.0,59.152493
851,36.7,36.059826
1127,60.56,60.264576
300,46.96,46.868332
334,46.94,46.409805
653,18.9,19.260038
475,39.43,37.753555
1718,46.36,45.95337
912,39.7,39.144146
436,46.77,46.57369
1066,41.7,42.1215
1320,52.92,52.90978
513,29.07,27.76081
1266,54.65,55.643818
495,36.87,37.683193
806,40.8,41.01388
212,29.1,28.407064
1379,57.15,57.240047
1648,32.2,33.74178
47,42.73,43.111248
697,27.9,28.250732
1303,37.49,37.226788
557,21.23,22.736927
1186,29.0,29.842451
346,27.49,27.518373
762,31.6,31.409025
1423,47.87,49.56878
1306,36.16,35.50363
1428,46.09,45.501663
292,43.64,45.026833
246,28.2,28.62482
1370,32.72,30.900917
1075,35.3,35.145626
1202,12.73,14.355879
1121,36.7,37.328907
1158,45.3,45.067646
1005,48.2,48.1929
395,28.23,28.711546
589,26.7,27.09768
1682,38.52,39.091442
1080,34.1,33.93816
1629,40.91,40.565994
1471,68.8,69.16317
370,35.07,34.940662
795,28.8,29.402748
703,48.9,49.83422
1450,64.77,62.097416
546,33.81,33.83235
189,23.58,26.622051
1041,38.4,38.248554
1356,40.96,39.256634
492,46.94,48.87006
1390,41.58,42.15876
664,35.4,35.07224
1006,48.9,47.263557
108,32.5,36.98713
1157,47.96,48.40758
1698,43.15,43.652454
783,35.7,35.555305
444,40.54,41.116463
1496,59.04,57.902065
531,30.31,29.483524
1001,50.7,51.928947
1047,34.0,34.168385
72,39.54,39.282562
1387,47.68,46.972275
973,49.5,49.213955
184,51.15,50.233543
1596,50.69,50.7976
35,38.56,37.6445
425,28.67,28.69066
509,37.76,36.46892
1087,48.4,47.71498
104,45.8,46.385227
222,42.4,44.037785
611,25.4,27.664898
362,31.5,32.576878
253,34.1,33.991894
1699,41.1,41.766693
523,48.5,47.57558
1687,45.8,48.271305
533,27.46,26.982098
710,31.2,31.40954
1329,33.92,36.152874
1338,26.2,27.207003
480,52.42,52.89889
269,27.6,27.955975
71,40.8,42.17972
1646,55.86,55.35753
1737,51.68,52.483425
1537,55.54,55.502747
1252,45.43,44.695625
123,34.4,36.783302
1108,40.1,41.255814
1058,54.3,53.93313
944,38.9,38.10253
235,31.0,30.314783
1578,26.81,26.835636
1289,57.41,57.260944
1327,36.6,37.30862
26,33.91,33.88157
688,53.3,54.28547
483,36.0,36.57838
1141,29.84,29.375244
417,27.59,27.46693
1016,44.2,43.47787
573,33.6,33.386944
342,35.13,37.129913
1564,53.39,54.527077
1371,32.83,31.35477
519,61.28,61.105137
666,35.0,34.716022
618,29.1,29.279621
464,27.65,28.561241
1667,48.86,49.037334
1612,29.35,29.596998
1610,30.34,30.292822
720,52.4,52.477257
258,39.5,39.349655
701,27.0,26.57152
957,29.8,30.28792
1154,62.31,62.71596
1339,25.02,26.586964
886,35.5,35.748356
1442,64.1,64.03424
1393,41.86,43.810368
735,58.2,57.717182
40,30.43,32.69466
693,29.5,29.453571
1155,58.98,59.850998
935,45.2,44.59419
798,62.2,62.27159
1500,57.96,55.63826
1695,33.05,33.784313
574,25.8,26.289335
1319,60.54,57.76669
552,29.27,29.09726
1582,27.3,27.054895
247,46.8,46.14032
641,26.5,26.161974
1652,30.92,31.098475
1741,40.06,40.07474
34,39.02,38.042988
1495,61.0,57.66419
202,36.0,36.26377
1044,37.2,37.7834
1106,45.8,45.46072
1621,34.14,34.175816
1147,30.62,28.951763
836,44.8,45.035248
1280,44.25,43.96581
661,30.8,30.513594
1369,33.72,33.09039
1394,40.92,42.32158
1719,43.09,43.935837
489,63.55,64.61598
628,42.1,41.176743
1723,37.97,38.301937
1375,67.96,67.51549
1227,67.45,67.248085
995,58.7,58.38684
1530,62.95,57.903503
1132,31.69,35.44362
1734,35.81,35.29626
1011,44.9,45.325996
1302,38.85,38.000187
575,32.6,32.323833
732,35.6,35.263115
