,IFT,IFT_pred
199,27.4,27.320251
1522,61.3,61.517204
1606,52.98,53.08091
1051,33.1,33.06001
615,22.7,22.807905
1528,56.21,56.17683
988,43.6,43.428894
452,29.9,29.870226
521,55.58,55.221783
299,31.42,31.474207
504,52.42,52.62929
909,41.4,41.016888
578,25.0,25.131388
1163,29.46,29.309729
1328,35.28,35.83288
1660,38.01,37.82294
1747,52.4,52.69604
1397,40.24,40.09543
32,39.37,39.3732
828,32.2,32.018093
683,36.5,36.730644
780,35.8,36.145023
466,32.45,32.49503
789,30.9,30.758383
1430,45.3,45.231647
267,27.3,27.608114
446,44.79,44.897068
1222,38.0,38.041267
7,29.05,29.06767
723,28.7,29.013062
456,25.97,26.214285
636,33.5,33.53696
997,54.9,55.18717
286,34.58,34.418304
577,31.9,31.35429
1290,57.46,57.380455
1253,42.42,42.277176
1145,42.75,43.113155
1229,59.22,59.18391
753,34.7,34.600784
928,58.2,58.013016
107,32.1,32.209656
501,62.48,62.699696
1516,67.2,67.01903
438,29.95,29.768913
1321,52.3,52.128017
514,27.44,27.707415
1335,28.78,28.758171
191,74.0,73.60884
1520,66.33,66.343094
433,39.45,39.47963
1707,48.86,48.76419
181,23.5,24.051334
1475,69.8,69.810585
1724,37.11,37.42002
953,31.1,31.278822
1535,60.29,59.922318
21,36.14,36.201546
832,57.2,57.596806
1683,37.97,37.911816
929,52.4,52.724083
862,64.9,65.0006
1383,53.3,53.52119
316,48.16,48.148773
1388,46.79,46.466717
583,28.3,28.048786
1065,42.9,42.986507
61,34.09,34.26776
561,51.0,50.932346
384,29.4,29.326963
733,24.3,24.250774
1364,36.97,36.991024
427,29.04,29.046251
1057,53.0,52.856564
148,32.4,32.215355
958,74.8,74.438965
1655,30.24,30.447123
821,30.1,30.088493
841,43.9,43.933193
796,31.5,31.600931
1674,36.09,36.00187
1114,35.6,35.53966
1150,29.2,29.02658
766,63.5,63.346714
403,29.67,29.597486
767,56.2,56.130383
343,31.84,31.810194
1299,40.76,40.798206
1407,64.9,65.12658
1681,39.8,39.821648
124,34.9,34.51605
631,34.6,34.512356
6,28.55,28.615948
1670,40.52,40.55545
383,27.88,27.96454
308,46.59,46.368477
1587,39.59,39.73492
1684,37.11,36.87905
1180,23.64,23.74296
1533,55.05,55.085384
1705,35.91,35.941128
1492,59.05,58.80554
748,33.9,33.84768
894,65.7,65.786545
412,32.59,33.015022
1021,40.8,40.718597
1166,27.0,27.33471
136,45.2,46.115337
985,42.9,42.86558
98,45.41,45.43073
1636,53.89,53.748466
599,37.0,37.07059
1035,42.5,42.417107
1464,50.78,50.679905
1164,28.13,28.082747
548,32.22,32.26332
207,24.6,24.154867
1190,19.82,19.59213
527,37.46,37.417828
1761,45.85,45.558224
802,51.3,50.602036
955,30.6,30.50261
2,31.81,31.787811
1067,41.1,41.090267
718,57.0,56.972427
1474,58.06,58.15897
1431,45.05,45.212025
874,40.8,40.758774
904,42.4,42.74869
297,32.82,32.83229
1614,29.82,29.4983
1633,36.05,36.068634
1541,55.9,56.05115
1385,46.65,46.788338
187,31.7,31.082136
831,61.3,61.54512
1680,42.19,42.53562
3,31.14,30.973736
45,46.68,46.72944
964,57.0,56.760098
1554,45.9,45.857227
1113,27.8,27.910666
556,22.25,22.676216
404,29.26,29.610992
1563,28.1,28.117159
487,27.73,27.809193
1181,23.38,23.305538
1443,60.84,60.73931
983,43.7,43.906174
1246,50.53,50.525158
591,46.3,46.074284
669,28.4,28.473446
302,36.85,36.880955
159,25.65,25.894114
1152,29.05,28.968784
845,40.6,40.645977
57,45.38,45.197872
1738,45.67,45.72717
1449,55.98,55.867455
822,33.4,33.416428
812,36.6,36.766468
1153,28.88,29.098469
586,20.2,20.46443
95,56.13,56.155155
1197,23.14,22.882967
649,20.2,19.838034
1451,62.55,62.099155
116,25.8,25.57707
259,31.1,30.895899
1650,31.86,31.746424
1401,36.86,36.504845
8,27.86,27.804123
218,56.7,56.976723
366,43.02,43.325714
963,62.1,61.97093
1506,68.78,69.15634
1460,58.97,58.50881
1304,35.89,35.438133
687,33.8,33.708294
1540,64.0,63.997974
447,47.87,47.807816
1124,42.2,42.32132
390,28.32,28.200174
859,33.8,33.914143
1331,31.62,31.201122
196,48.8,48.974422
544,36.64,36.198013
1131,32.97,33.288956
834,50.7,50.679028
1602,36.0,36.111584
1208,38.4,37.7532
1523,58.13,57.50844
106,39.5,39.552128
75,30.8,30.35203
1358,42.75,42.405605
11,34.08,34.079918
952,34.5,34.46469
360,34.62,34.347687
468,37.67,37.789436
1701,38.02,37.766926
58,40.29,39.857147
581,29.1,29.049568
101,38.62,38.702343
376,27.53,27.551775
1472,65.78,65.61996
626,46.9,46.849274
358,41.2,41.139442
814,36.2,36.25392
772,41.5,41.871845
562,32.4,32.66786
1076,35.3,35.277416
254,45.2,45.668594
810,37.9,37.745586
165,51.32,51.575985
1644,35.9,36.076214
747,38.2,38.274895
437,29.96,29.632696
1581,35.6,35.435528
1167,27.25,27.264572
1745,39.13,39.17026
629,36.4,36.371155
1406,67.95,67.728485
1717,53.78,53.753784
1491,61.54,61.118813
220,49.5,49.036507
1713,36.89,37.00685
1353,51.47,51.079567
906,41.3,41.048462
85,30.41,30.441673
1228,64.04,63.837227
1352,52.02,52.25869
1107,31.0,30.547258
1405,69.33,68.96281
277,35.95,36.13501
1200,15.45,15.694156
228,28.8,28.880764
1485,65.91,65.356636
1590,33.61,33.58342
1634,35.84,35.872826
448,26.03,26.047564
80,45.59,45.20761
1039,39.4,39.510227
65,47.9,47.962246
861,33.2,33.137554
975,48.8,48.813908
303,36.84,36.81839
943,38.8,38.75672
1277,43.74,43.90362
567,39.7,39.796005
939,41.1,41.09921
1,34.96,34.913925
1059,50.6,50.36199
59,36.47,36.276615
668,34.5,34.556587
249,41.6,42.065735
