,IFT,IFT_pred
1460,58.97,58.592865
1304,35.89,35.13535
687,33.8,33.619186
1540,64.0,63.961693
447,47.87,47.615166
1124,42.2,42.450268
390,28.32,28.172537
859,33.8,33.956993
1331,31.62,30.947989
196,48.8,48.81568
544,36.64,35.99557
1131,32.97,33.494846
834,50.7,50.711555
1602,36.0,36.18666
1208,38.4,37.546616
1523,58.13,57.79289
106,39.5,39.568855
75,30.8,29.897564
1358,42.75,42.362106
11,34.08,34.029037
952,34.5,34.43909
360,34.62,34.37712
468,37.67,37.876217
1701,38.02,37.81155
58,40.29,39.83836
581,29.1,29.202913
101,38.62,38.560276
376,27.53,27.369846
1472,65.78,65.758354
626,46.9,46.930943
358,41.2,41.04328
814,36.2,36.166325
772,41.5,41.772736
562,32.4,32.843212
1076,35.3,35.296482
254,45.2,45.660923
810,37.9,38.05375
165,51.32,52.01794
1644,35.9,36.123936
747,38.2,37.97396
437,29.96,29.630722
1581,35.6,35.55412
1167,27.25,27.456753
1745,39.13,39.173557
629,36.4,36.50512
1406,67.95,67.57148
1717,53.78,53.732765
1491,61.54,61.4647
220,49.5,49.326
1713,36.89,37.220154
1353,51.47,50.74608
906,41.3,41.303585
85,30.41,30.505241
1228,64.04,63.716812
1352,52.02,52.951073
1107,31.0,30.605307
1405,69.33,69.13193
277,35.95,36.24679
1200,15.45,15.726155
228,28.8,29.076672
1485,65.91,65.67546
1590,33.61,33.556152
1634,35.84,35.617744
448,26.03,25.879303
80,45.59,45.155804
1039,39.4,39.311863
65,47.9,47.896538
861,33.2,33.07287
975,48.8,48.9204
303,36.84,37.004284
943,38.8,38.812443
1277,43.74,43.952732
567,39.7,39.5251
939,41.1,41.074066
1,34.96,34.762894
1059,50.6,50.431267
59,36.47,36.313667
668,34.5,34.41966
249,41.6,42.266056
1658,42.13,42.120174
121,38.0,38.794224
857,34.2,33.881527
213,28.5,28.979101
1270,52.29,52.023197
28,43.9,44.12583
554,25.27,25.180447
1247,48.04,47.824383
1345,65.85,65.58812
1123,36.2,36.204586
1292,53.4,53.419586
405,30.64,30.246292
1217,43.0,42.668953
1307,35.24,35.049595
1176,34.14,34.65201
1503,51.64,51.48642
1296,45.97,45.68075
153,29.7,29.932518
1627,47.16,47.577034
1310,35.24,35.69604
337,35.8,35.91593
423,40.96,40.608498
1415,53.44,53.725906
1547,56.2,56.07108
1191,18.83,18.676544
1064,43.9,44.085476
994,63.1,62.572624
469,42.0,41.477818
991,64.9,65.31043
1642,37.89,37.853073
1355,37.24,37.617542
93,34.72,34.68452
1316,67.55,67.70893
494,40.21,40.092
1733,35.88,35.57255
823,28.9,28.854855
1109,28.9,29.136435
1009,46.7,46.53234
1524,54.41,54.82069
54,53.33,53.117413
1622,33.7,33.887917
1465,54.98,54.810574
1272,47.88,47.579235
568,27.3,27.176048
338,35.36,35.283546
1466,53.66,54.163334
244,28.8,28.950317
1138,30.73,30.594662
580,23.7,23.86542
916,37.4,37.43745
354,29.87,30.26963
866,52.9,52.963177
1545,37.7,37.856285
1008,48.2,48.03492
840,40.1,40.09113
1635,35.71,35.08286
312,31.5,31.706413
295,34.25,34.41435
816,35.7,35.746746
1267,52.67,53.10099
910,40.2,39.8172
1232,60.41,60.46239
1260,64.41,64.44311
663,30.1,30.156738
1090,60.6,61.08336
672,33.4,33.584587
449,26.14,26.184345
131,23.4,23.370325
625,40.7,40.35423
797,28.3,28.332945
644,30.6,30.33527
526,39.83,39.99394
498,29.17,28.987583
690,48.5,47.835083
1017,41.6,41.457714
1220,40.0,39.603447
250,58.5,58.694992
595,41.2,41.672874
849,38.0,37.66606
162,24.9,24.970203
1696,58.49,58.55948
1380,56.1,56.556934
443,38.29,38.78025
97,51.77,51.764076
352,32.36,32.459633
428,29.25,29.325535
1251,47.45,47.28254
779,38.7,38.69127
673,50.5,50.551567
506,46.28,46.0782
655,34.4,34.86114
601,34.7,34.807762
330,32.25,32.283653
1098,49.6,49.227226
336,37.92,37.638916
699,27.5,27.180681
1594,31.22,31.196053
326,44.33,44.30173
1654,30.4,30.481422
88,49.77,49.67154
1589,33.74,33.49521
111,30.9,30.458689
621,20.9,21.086363
349,43.23,43.256927
1342,24.13,24.1527
454,35.12,34.983944
1323,48.68,48.99634
305,35.5,35.455997
1172,55.02,54.98924
406,24.78,25.054924
1560,37.7,38.071705
69,38.14,38.004177
529,33.97,33.45387
201,27.5,27.465302
