,Temperature,Pressure,Methane,Nitrogen,M1_conc,M2_conc,D_change,Salttype_CaCl,Salttype_MgCl,Salttype_Na2SO4,Salttype_NaCl,Salttype_NaClCaCl,Salttype_NaClKCl,Salttype_Water,IFT_Pred
0,49.85,5.0,0,0,3.419,0,1.031,0,0,0,0,0,1,0,55.067375
1,69.85,5.0,0,0,3.419,0,1.032,0,0,0,0,0,1,0,56.91863
2,49.85,10.0,0,0,3.419,0,0.755,0,0,0,0,0,1,0,42.88816
3,69.85,10.0,0,0,3.419,0,0.881,0,0,0,0,0,1,0,44.862007
4,49.85,15.0,0,0,3.419,0,0.455,0,0,0,0,0,1,0,39.518612
5,69.85,15.0,0,0,3.419,0,0.625,0,0,0,0,0,1,0,40.522217
6,49.85,20.0,0,0,3.419,0,0.359,0,0,0,0,0,1,0,37.473442
7,69.85,20.0,0,0,3.419,0,0.474,0,0,0,0,0,1,0,38.46674
8,49.85,25.0,0,0,3.419,0,0.32,0,0,0,0,0,1,0,35.849285
9,69.85,25.0,0,0,3.419,0,0.38,0,0,0,0,0,1,0,37.22093
10,100.0,21.41,0,0,0.0,0,0.2511,0,0,0,0,0,0,1,24.626774
