Temperature,Pressure,Methane,Nitrogen,M1_conc,M2_conc,Salttype,D_change,Phase,IFT
27,5.07,0,0,0,0.045,CaCl,0.8817,GAS,39.61
27,6.03,0,0,0,0.045,CaCl,0.8299,GAS,34.96
27,7.02,0,0,0,0.045,CaCl,0.3028,GAS,31.81
27,8.27,0,0,0,0.045,CaCl,0.2546,LIQUID,31.14
27,11.05,0,0,0,0.045,CaCl,0.1977,LIQUID,30.49
27,14.16,0,0,0,0.045,CaCl,0.1622,LIQUID,29.65
27,17.17,0,0,0,0.045,CaCl,0.1375,LIQUID,28.55
27,20.22,0,0,0,0.045,CaCl,0.1157,LIQUID,29.05
27,24.96,0,0,0,0.045,CaCl,0.0908,LIQUID,27.86
27,4.9,0,0,0,0.9,CaCl,0.9556,GAS,42.22
27,5.9,0,0,0,0.9,CaCl,0.9061,GAS,37.77
27,6.92,0,0,0,0.9,CaCl,0.389,GAS,34.08
27,8.08,0,0,0,0.9,CaCl,0.3269,LIQUID,33.48
27,11.34,0,0,0,0.9,CaCl,0.261,LIQUID,32.24
27,14.24,0,0,0,0.9,CaCl,0.2252,LIQUID,32.31
27,17.87,0,0,0,0.9,CaCl,0.197,LIQUID,30.91
27,20.86,0,0,0,0.9,CaCl,0.177,LIQUID,31.03
27,24.76,0,0,0,0.9,CaCl,0.1547,LIQUID,29.87
27,5.15,0,0,0,1.8,CaCl,1.0201,GAS,45.46
27,6.19,0,0,0,1.8,CaCl,0.9607,GAS,40.05
27,7.2,0,0,0,1.8,CaCl,0.448,GAS,36.83
27,8.47,0,0,0,1.8,CaCl,0.3879,LIQUID,36.14
27,11.38,0,0,0,1.8,CaCl,0.3334,LIQUID,35.96
27,14.55,0,0,0,1.8,CaCl,0.2967,LIQUID,35.42
27,17.45,0,0,0,1.8,CaCl,0.2717,LIQUID,34.43
27,21.27,0,0,0,1.8,CaCl,0.2465,LIQUID,34.39
27,24.84,0,0,0,1.8,CaCl,0.228,LIQUID,33.91
27,5.25,0,0,0,2.7,CaCl,1.0926,GAS,46.84
27,6.07,0,0,0,2.7,CaCl,1.0447,GAS,43.9
27,7.12,0,0,0,2.7,CaCl,0.52,GAS,39.37
27,8.47,0,0,0,2.7,CaCl,0.4673,LIQUID,38.8
27,11.62,0,0,0,2.7,CaCl,0.4078,LIQUID,39.33
27,14.48,0,0,0,2.7,CaCl,0.3752,LIQUID,39.37
27,17.6,0,0,0,2.7,CaCl,0.3491,LIQUID,38.43
27,21.13,0,0,0,2.7,CaCl,0.3247,LIQUID,39.02
27,24.72,0,0,0,2.7,CaCl,0.3057,LIQUID,38.56
71,5.43,0,0,0,0.045,CaCl,0.8877,LIQUID,40.68
71,6.41,0,0,0,0.045,CaCl,0.8646,LIQUID,39.82
71,7.49,0,0,0,0.045,CaCl,0.8355,SC,38.58
71,8.72,0,0,0,0.045,CaCl,0.797,SC,36.2
71,12.01,0,0,0,0.045,CaCl,0.6552,SC,30.43
71,15,0,0,0,0.045,CaCl,0.503,SC,30.19
71,17.71,0,0,0,0.045,CaCl,0.4035,SC,28.67
71,20.48,0,0,0,0.045,CaCl,0.3399,SC,27.46
71,24.62,0,0,0,0.045,CaCl,0.2769,SC,27.98
71,5.43,0,0,0,0.9,CaCl,0.9547,LIQUID,46.68
71,6.17,0,0,0,0.9,CaCl,0.9376,LIQUID,45.27
71,7.29,0,0,0,0.9,CaCl,0.9084,LIQUID,42.73
71,8.76,0,0,0,0.9,CaCl,0.8626,SC,39.63
71,12.07,0,0,0,0.9,CaCl,0.7198,SC,35.04
71,15.11,0,0,0,0.9,CaCl,0.5612,SC,32.91
71,18.19,0,0,0,0.9,CaCl,0.4544,SC,31.14
71,20.93,0,0,0,0.9,CaCl,0.3963,SC,30.87
71,24.9,0,0,0,0.9,CaCl,0.3374,SC,29.86
71,5.05,0,0,0,1.8,CaCl,1.0364,LIQUID,53.33
71,6.2,0,0,0,1.8,CaCl,1.0098,LIQUID,50.39
71,7.01,0,0,0,1.8,CaCl,0.9883,LIQUID,48.24
71,8.51,0,0,0,1.8,CaCl,0.9432,SC,45.38
71,11.6,0,0,0,1.8,CaCl,0.8146,SC,40.29
71,15.01,0,0,0,1.8,CaCl,0.6368,SC,36.47
71,18.07,0,0,0,1.8,CaCl,0.5301,SC,34.91
71,20.89,0,0,0,1.8,CaCl,0.4671,SC,34.09
71,24.53,0,0,0,1.8,CaCl,0.4136,SC,33.7
71,6.08,0,0,0,2.7,CaCl,1.0859,LIQUID,54.06
71,7.07,0,0,0,2.7,CaCl,1.0596,LIQUID,51.38
71,8.55,0,0,0,2.7,CaCl,1.0149,SC,47.9
71,11.61,0,0,0,2.7,CaCl,0.8866,SC,43.15
71,15.14,0,0,0,2.7,CaCl,0.7048,SC,39.7
71,18.12,0,0,0,2.7,CaCl,0.601,SC,39.27
71,20.67,0,0,0,2.7,CaCl,0.5436,SC,38.14
71,24.91,0,0,0,2.7,CaCl,0.4802,SC,37.36
100,5.01,0,0,0,0.045,CaCl,0.8867,LIQUID,40.8
100,6.38,0,0,0,0.045,CaCl,0.8638,LIQUID,39.54
100,7.76,0,0,0,0.045,CaCl,0.8361,SC,36.37
100,11.02,0,0,0,0.045,CaCl,0.7603,SC,30.1
100,13.86,0,0,0,0.045,CaCl,0.681,SC,30.8
100,18.25,0,0,0,0.045,CaCl,0.5489,SC,28.27
100,20.5,0,0,0,0.045,CaCl,0.4897,SC,27.52
100,24.61,0,0,0,0.045,CaCl,0.404,SC,27.58
100,4.94,0,0,0,0.9,CaCl,0.9605,LIQUID,47.67
100,6.18,0,0,0,0.9,CaCl,0.9379,LIQUID,45.59
100,7.81,0,0,0,0.9,CaCl,0.9059,SC,41.65
100,11.07,0,0,0,0.9,CaCl,0.8286,SC,37.25
100,14.05,0,0,0,0.9,CaCl,0.7442,SC,34.35
100,17.39,0,0,0,0.9,CaCl,0.6414,SC,32.18
100,20.68,0,0,0,0.9,CaCl,0.5522,SC,30.41
100,25.23,0,0,0,0.9,CaCl,0.4591,SC,28.28
