,IFT,IFT_pred
1460,58.97,57.72414202380957
1304,35.89,37.47860654761902
687,33.8,33.59759599206348
1540,64.0,64.220918015873
447,47.87,47.993909464285736
1124,42.2,43.676792380952385
390,28.32,28.4204118524531
859,33.8,33.667518571428594
1331,31.62,30.57104363095239
196,48.8,48.70431289682539
544,36.64,35.79245232142855
1131,32.97,34.63304749999998
834,50.7,50.522533095238074
1602,36.0,36.931357460317464
1208,38.4,36.95963575396825
1523,58.13,56.90862710317457
106,39.5,40.01032577380953
75,30.8,31.76176563492064
1358,42.75,42.20612343253972
11,34.08,32.86557345238096
952,34.5,34.17369936507936
360,34.62,34.325790892857164
468,37.67,38.01849940476191
1701,38.02,37.566219989177476
58,40.29,39.718181666666666
581,29.1,29.399955476190485
101,38.62,38.51502761904764
376,27.53,28.17104339285715
1472,65.78,65.48114553571436
626,46.9,45.3462150595238
358,41.2,41.977873611111136
814,36.2,36.110688988095205
772,41.5,42.456810535714276
562,32.4,35.25592232142857
1076,35.3,35.27745749999999
254,45.2,45.269706111111105
810,37.9,37.33498077380952
165,51.32,53.58584464285709
1644,35.9,35.944812559523804
747,38.2,37.85564333333335
437,29.96,30.086657420634914
1581,35.6,35.89503059523809
1167,27.25,27.136539166666672
1745,39.13,38.7924325
629,36.4,37.40076611111109
1406,67.95,67.08467722222224
1717,53.78,52.03953071428572
1491,61.54,60.1868105032468
220,49.5,49.1553054166667
1713,36.89,37.16179600108229
1353,51.47,50.247253849206345
906,41.3,39.736779682539684
85,30.41,30.805238750000008
1228,64.04,62.82299172619044
1352,52.02,51.86980059523807
1107,31.0,30.195866249999995
1405,69.33,70.0075751190476
277,35.95,35.179412857142864
1200,15.45,17.575410496031747
228,28.8,28.75409940476188
1485,65.91,63.61652192460324
1590,33.61,32.45479142857145
1634,35.84,35.513372981601734
448,26.03,26.099584404761924
80,45.59,45.8815259920635
1039,39.4,39.459552559523814
65,47.9,48.90739873015873
861,33.2,33.380300238095266
975,48.8,47.749646309523825
303,36.84,36.32975865079365
943,38.8,39.004001726190445
1277,43.74,44.29522894841272
567,39.7,39.44643694444443
939,41.1,41.90410781746036
1,34.96,35.35904994047619
1059,50.6,50.52493488095238
59,36.47,35.53543474206351
668,34.5,34.071082494588765
249,41.6,42.76521976190474
1658,42.13,42.87802238095237
121,38.0,39.65499075396824
857,34.2,33.95500444444446
213,28.5,28.8878995238095
1270,52.29,49.77566646825396
28,43.9,47.426402559523815
554,25.27,25.22223916666667
1247,48.04,47.70081124999998
1345,65.85,67.87678869047619
1123,36.2,36.22188654761907
1292,53.4,52.96002869047619
405,30.64,30.827301726190477
1217,43.0,39.657609325396805
1307,35.24,35.8547625703463
1176,34.14,34.33794279761903
1503,51.64,51.54189549603173
1296,45.97,45.34130755952378
153,29.7,28.766070595238098
1627,47.16,46.827454345238074
1310,35.24,33.96190331349205
337,35.8,35.587745779220796
423,40.96,41.23991672619048
1415,53.44,56.42795418650795
1547,56.2,57.192703928571426
1191,18.83,18.517903611111112
1064,43.9,43.51549726190476
994,63.1,61.53060059523808
469,42.0,41.897135119047604
991,64.9,65.72452678571426
1642,37.89,37.67180880952379
1355,37.24,37.733535297619014
93,34.72,35.030168928571456
1316,67.55,66.72879738095244
494,40.21,40.51034994047618
1733,35.88,35.694395238095254
823,28.9,29.076681507936506
1109,28.9,28.973019861111084
1009,46.7,47.39801315476191
1524,54.41,54.178449857503594
54,53.33,53.04628523809522
1622,33.7,33.98609361111111
1465,54.98,53.72711285714289
1272,47.88,47.75735386904761
568,27.3,27.338450833333326
338,35.36,34.9635830952381
1466,53.66,53.474717857142906
244,28.8,28.91681257215007
1138,30.73,30.078445297619044
580,23.7,24.16112773809521
916,37.4,37.23927253968253
354,29.87,30.44859238095238
866,52.9,52.44115738095239
1545,37.7,35.96789124999997
1008,48.2,47.35134440476191
840,40.1,39.55699503968254
1635,35.71,34.5673311363636
312,31.5,31.050220362554118
295,34.25,34.002631984126985
816,35.7,35.81655089285712
1267,52.67,52.33579569444445
910,40.2,39.14462916666666
1232,60.41,59.752454523809476
1260,64.41,63.32682017857142
663,30.1,30.381870039682536
1090,60.6,60.34818333333332
672,33.4,33.09549422077922
449,26.14,26.57302454365081
131,23.4,23.915579929653678
625,40.7,41.83076904761906
797,28.3,28.651139047619044
644,30.6,30.743008353174613
526,39.83,40.04287976190475
498,29.17,28.982705984848465
690,48.5,47.04996474206347
1017,41.6,42.40251845238097
1220,40.0,38.637141230158754
250,58.5,58.69382593253968
595,41.2,41.63323626984127
849,38.0,37.10364011904761
162,24.9,25.793250178571427
1696,58.49,58.56729674603169
1380,56.1,57.51097488095241
443,38.29,38.948361737013
97,51.77,52.183682500000025
352,32.36,32.683909107142874
428,29.25,29.750354107142854
1251,47.45,46.413425932539695
779,38.7,38.97933339285715
673,50.5,50.42795630952385
506,46.28,45.49500765873015
655,34.4,34.49672420634919
601,34.7,35.28111492063494
330,32.25,32.620283630952365
1098,49.6,47.9631919047619
336,37.92,37.21270095238095
699,27.5,27.665545238095238
1594,31.22,31.000489094516578
326,44.33,44.49204121031747
1654,30.4,30.837060674603148
88,49.77,49.79004642857142
1589,33.74,32.470035952380975
111,30.9,29.766626547619033
621,20.9,22.732714166666668
349,43.23,42.86240801587304
1342,24.13,24.773303511904768
454,35.12,35.64870374999999
1323,48.68,48.214907023809545
305,35.5,35.44109115079366
1172,55.02,55.26113642857137
406,24.78,25.808328849206347
1560,37.7,42.52019798701299
69,38.14,38.4364623051948
529,33.97,34.00790613095238
201,27.5,27.028746488095244
833,57.8,56.61160948412697
1462,55.63,56.634997182539685
1396,40.12,39.962252936507966
331,32.13,32.54429208333331
936,44.4,43.931513333333335
60,34.91,34.84958125000002
1103,33.1,32.72561684523812
524,45.36,45.33679833333335
1641,38.64,38.32357699675324
488,25.99,25.601825277777763
1004,49.4,48.34674928571429
856,35.6,35.2918168650794
1519,56.18,55.85637904761902
234,25.2,25.314659464285718
471,29.57,30.231110396825382
1728,37.52,37.75673988095239
1675,35.97,35.59579304112551
1445,68.05,67.3023415476191
1735,35.72,35.56312857142859
327,39.4,39.72543534090911
564,28.8,28.71492916666667
1398,38.87,39.59388305555553
737,53.5,53.58138809523812
479,58.9,58.3208818253968
1580,42.3,41.550267281746045
728,38.9,38.85311256493506
1736,62.12,62.07901946969696
132,28.4,28.169004047619037
550,30.45,30.21731505952382
1268,50.35,49.859181944444465
1631,37.68,37.24654285714284
298,32.42,32.63962571428572
1279,39.69,40.63964966269841
